"popularity_score","title","artist","year","decade","original_vocal","categories","Social_singing","artist_review_flag","cleanup_notes"
"939","Picture","Kid Rock & Sheryl Crow","2002","2000s","Mixed","Country rock","Duets","",""
"754","Give Me One Reason","Tracy Chapman","1995","90s","Female","Rock, Alternative Rock, Pop Rock, Pop, Soul","","",""
"745","Before He Cheats","Carrie Underwood","2005","2000s","Female","Country, Contemporary Country, Modern Country, Country Pop, Rock","","",""
"736","Amarillo by Morning","George Strait","1982","80s","Male","Country","","",""
"613","Black Velvet","Alannah Myles","1989","80s","Female","Rock, Pop Rock, Classic Rock, Pop, Singer-Songwriter","","",""
"603","Ol' Red","Blake Shelton","2001","2000s","Male","Country, Contemporary Country, Pop","","",""
"597","Tennessee Whiskey","Chris Stapleton","2012","2010s","Male","Country, Singer-Songwriter, Bluegrass, Southern Rock","","",""
"588","Black Horse and Cherry Tree","KT Tunstall","2004","2000s","Female","Alternative Rock, Indie Rock, Folk, Singer-Songwriter, Folk Rock","","",""
"567","Folsom Prison Blues","Johnny Cash","1955","50s","Male","Country, Folk, Americana, Blues, Gospel, Rockabilly","","",""
"563","Kryptonite","3 Doors Down","2000","2000s","Male","Rock, Alternative Rock, Hard Rock, Pop Rock, Pop","","",""
"555","Friends in Low Places","Garth Brooks","1990","90s","Male","Country, Contemporary Country, Modern Country","","",""
"540","Shallow (A Star Is Born Soundtrack)","Lady Gaga & Bradley Cooper","2018","2010s","Mixed","Pop, Film soundtrack, Country pop","","",""
"538","Just Breathe","Pearl Jam","2009","2000s","Male","Rock, Alternative Rock, Hard Rock, Pop Rock, Classic Rock, Acoustic Rock","","",""
"537","Feeling Good","Michael Buble","2005","2000s","Male","Jazz, Vocal Jazz, Traditional Pop","","",""
"536","Cocaine Country Dancing","Paul Cauthen","2018","2010s","Male","Country, Alt-Country, Rock, Americana, Outlaw Country","","",""
"502","Creep","Radiohead","1992","1990s","Male","Alternative Rock, Grunge","","",""
"486","Valerie","Mark Ronson & Amy Winehouse","2007","2000s","Female","Soul, Pop, Funk","","",""
"476","Santeria","Sublime","1996","90s","Male","Rock, Alternative Rock, Classic Rock, Pop, Punk, Ska Punk","","",""
"474","Dreams","Fleetwood Mac","1977","70s","Female","Rock, Pop Rock, Classic Rock, Pop, Adult Contemporary, Soft Rock","","",""
"469","Turn the Page","Bob Seger","1973","70s","Male","Rock, Classic Rock, Singer-Songwriter, Rock and Roll, Heartland Rock","","",""
"465","Basket Case","Green Day","1994","90s","Male","Rock, Alternative Rock, Pop, Pop Punk, Punk","","",""
"447","In Hell I'll Be in Good Company","The Dead South","2014","2010s","Male","Folk, Bluegrass, Americana","","",""
"444","Crazy","Patsy Cline","1961","60s","Female","Country","","",""
"430","Inside Out","Eve 6","1998","90s","Male","Alternative Rock, Post-Grunge","","",""
"423","These Boots Are Made for Walkin'","Nancy Sinatra","1966","60s","Female","Pop, Country Pop","","",""
"408","Save Me","Jelly Roll","2020","2020s","Male","Country, Country Rap, Rock","","",""
"377","The Sound of Silence","Disturbed","2015","2010s","Male","Alternative Metal, Hard Rock","","",""
"377","Something in the Orange","Zach Bryan","2022","2020s","Male","Country, Pop","","",""
"372","Zombie","The Cranberries","1994","90s","Female","Rock, Alternative Rock, Hard Rock, Pop Rock, Indie Rock","","",""
"371","Bitch","Meredith Brooks","1997","90s","Female","Rock, Alternative Rock, Pop Rock, Pop","","",""
"370","Jolene","Dolly Parton","1973","70s","Female","Country, Country Pop, Pop, Bluegrass","","",""
"367","Strawberry Wine","Deana Carter","1996","90s","Female","Country, Contemporary Country, Modern Country, Country Pop, Country Rock","","",""
"361","Feathered Indians","Tyler Childers","2017","2010s","Male","Country, Alt-Country, Americana","","",""
"358","Piano Man","Billy Joel","1973","70s","Male","Rock, Pop Rock, Classic Rock, Pop, Singer-Songwriter","","",""
"357","Rhiannon","Fleetwood Mac","1975","70s","Female","Rock, Soft Rock","","",""
"355","Mama's Broken Heart","Miranda Lambert","2011","2010s","Female","Country, Contemporary Country, Modern Country, Country Pop, Rock","","",""
"353","Bohemian Rhapsody","Queen","1976","70s","Male","Rock, Hard Rock, Pop Rock, Classic Rock, Baroque Pop","Group Song","",""
"350","When I'm Gone","3 Doors Down","2002","2000s","Male","Rock, Alternative Rock, Post-Grunge","","",""
"349","Girl Crush","Little Big Town","2014","2010s","Female","Country, Country Rock","","",""
"346","Gunpowder & Lead","Miranda Lambert","2007","2000s","Female","Country, Country Rock","","",""
"340","Badfish","Sublime","1994","90s","Male","Rock, Alternative Rock, Punk, Punk Rock, Reggae","","",""
"338","Fly Me to the Moon","Frank Sinatra","1977","70s","Male","Pop, Jazz","","",""
"338","Under the Bridge","Red Hot Chili Peppers","1991","90s","","Rock, Alternative Rock, Hard Rock, Pop Rock, Classic Rock","","",""
"335","Ain't No Rest for the Wicked","Cage the Elephant","2008","2000s","","Rock, Alternative Rock, Indie Rock, Folk Rock, Garage Rock","","",""
"335","Your Song","Elton John","1970","70s","Male","Rock, Pop Rock, Classic Rock, Pop, Singer-Songwriter","","",""
"335","Date Rape","Sublime","1991","90s","","Rock, Alternative Rock, Punk, Punk Rock, Reggae","","",""
"333","Dirty Laundry","Don Henley","1982","80s","Male","Rock, Pop Rock, Classic Rock, Pop, Singer-Songwriter","","",""
"327","Sold (The Grundy County Auction)","John Michael Montgomery","","","","","","",""
"326","Get Rhythm","Johnny Cash","1978","70s","Male","Country, Folk, Americana, Blues, Gospel","","",""
"324","You Oughta Know","Alanis Morissette","1995","90s","Female","Rock, Alternative Rock, Pop, Folk Rock","","",""
"319","Sweet Caroline","Neil Diamond","1969","60s","Male","Rock, Pop Rock, Pop, Singer-Songwriter, Adult Contemporary","","",""
