title,artist,year,decade,categories,social_singing,original_vocal,possible_duplicate,match_confidence,needs_review,notes,raw_input
The Walker,Fitz & The Tantrums,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-01 - Fitz & The Tantrums - The Walker.mp3
Maps,Maroon,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-02 - Maroon 5 - Maps.mp3
All About That Bass,Meghan Trainor,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-03 - Meghan Trainor - All About That Bass.mp3
Dirt,Florida Georgia Line,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-04 - Florida Georgia Line - Dirt.mp3
Burnin' It Down,Jason Aldean,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-05 - Jason Aldean - Burnin' It Down.mp3
Trippin' On Us,Lindsay Ell,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-06 - Lindsay Ell - Trippin' On Us.mp3
Drunk On A Plane,Dierks Bentley,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-07 - Dierks Bentley - Drunk On A Plane.mp3
Bad Girl Phase,Sunny Sweeney,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-08 - Sunny Sweeney - Bad Girl Phase.mp3
The Walker Wvocal,Fitz & The Tantrums,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-09 - Fitz & The Tantrums - The Walker Wvocal.mp3
Maps,Maroon 5 Wvocal,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-10 - Maroon 5 Wvocal - Maps.mp3
All About That Bass Wvocal,Meghan Trainor,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-11 - Meghan Trainor - All About That Bass Wvocal.mp3
Dirt Wvocal,Florida Georgia Line,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-12 - Florida Georgia Line - Dirt Wvocal.mp3
Burnin' It Down Wvocal,Jason Aldean,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-13 - Jason Aldean - Burnin' It Down Wvocal.mp3
Trippin' On Us Wvocal,Lindsay Ell,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-14 - Lindsay Ell - Trippin' On Us Wvocal.mp3
